OriginalId,Player,PlayerId
2561037,Marcus Davenport,marcus-davenport
2539982,A.J. Klein,a-j-klein
2539277,Manti Te'o,manti-te-o
2556752,Tommylee Lewis,tommylee-lewis
2556601,Wil Lutz,wil-lutz
71407,Thomas Morstead,thomas-morstead
2559254,Shane Smith,shane-smith
2550599,Scott Simonson,scott-simonson
2541944,Russell Shepard,russell-shepard
2559280,Chad Wheeler,chad-wheeler
2556804,Antonio Hamilton,antonio-hamilton
2533459,Nate Stupar,nate-stupar
2561017,Sean Chandler,sean-chandler
2507200,Zak DeOssie,zak-deossie
2495143,Andy Dalton,andy-dalton
2557976,Joe Mixon,joe-mixon
2495450,A.J. Green,a-j-green
2555466,Tyler Boyd,tyler-boyd
2552559,C.J. Uzomah,c-j-uzomah
2558010,John Ross,john-ross
496762,Geno Atkins,geno-atkins
2543814,Preston Brown,preston-brown
496780,Carlos Dunlap,carlos-dunlap
2558801,Jordan Evans,jordan-stacey-evans
2556367,William Jackson,william-jackson
2507784,Michael Johnson,michael-johnson
2533060,Dre Kirkpatrick,dre-kirkpatrick
2555528,Nick Vigil,nick-vigil
2539233,Shawn Williams,shawn-williams
2556662,Alex Redmond,alex-redmond
2560843,Billy Price,billy-price
2552335,Bobby Hart,bobby-hart
2495123,Clint Boling,clint-boling
2532849,Cordy Glenn,cordy-glenn
2555267,Andrew Billings,andrew-billings
2540148,Tyler Eifert,tyler-eifert
2552586,Tyler Kroft,tyler-kroft
2540156,Giovani Bernard,giovani-bernard
2543474,Darqueze Dennard,darqueze-dennard
2555355,Clayton Fejedelem,clayton-fejedelem
2557851,Ryan Glasgow,ryan-glasgow
2558982,Hardy Nickerson,hardy-nickerson
2556519,Alex Erickson,alex-erickson
2533444,Randy Bullock,randy-bullock
71333,Kevin Huber,kevin-huber
2556493,Tra Carson,tra-carson
2558127,Josh Malone,josh-malone
2560745,Sam Hubbard,sam-hubbard
2552360,Jake Fisher,jake-fisher
2560970,Jessie Bates,jessie-bates
2557901,Carl Lawson,carl-lawson
2557884,Jordan Willis,jordan-willis
2556817,Tony McRae,tony-mcrae
2507843,Vincent Rey,vincent-rey
2558786,Brandon Wilson,brandon-wilson
2558864,Mason Schreck,mason-schreck
2495620,Clark Harris,clark-harris
2550208,Trey Hopkins,trey-hopkins
2560839,Darius Phillips,darius-phillips
2533031,Andrew Luck,andrew-luck
2560933,Jordan Wilkins,jordan-wilkins
2540232,Jack Doyle,jack-doyle
2543466,Eric Ebron,eric-ebron
2532865,T.Y. Hilton,t-y-hilton
2550646,Denico Autry,denico-autry
2552386,Clayton Geathers,clayton-geathers
2558108,Nate Hairston,nate-hairston
2558060,Malik Hooker,malik-hooker
2539310,Margus Hunt,margus-hunt
2560789,Darius Leonard,darius-leonard
2560816,Skai Moore,skai-moore
2558976,Kenny Moore,kenny-moore
2495228,Jabaal Sheard,jabaal-sheard
496881,Al Woods,al-woods
2555371,Joe Haeg,joe-haeg
81871,Matt Slauson,matt-slauson
2560820,Quenton Nelson,quenton-nelson
2555191,Ryan Kelly,ryan-kelly
1037880,J'Marcus Webb,j-marcus-webb
2560876,Braden Smith,braden-smith
2557961,Quincy Wilson,quincy-wilson
2560742,Nyheim Hines,nyheim-hines
2539322,Christine Michael,christine-michael
2543759,Ryan Grant,ryan-grant
2556396,Chester Rogers,chester-rogers
2558877,Zach Pascal,zach-pascal
2550405,Erik Swoope,erik-swoope
2556429,Matthias Farley,matthias-farley
2558131,Al-Quadin Muhammad,al-quadin-muhammad
2558851,Anthony Walker,anthony-walker
2503471,Adam Vinatieri,adam-vinatieri
2558899,Rigoberto Sanchez,rigoberto-sanchez
2558766,Grover Stewart,grover-stewart
2560905,Kemoko Turay,kemoko-turay
2558165,Tarell Basham,tarell-basham
2561155,Zaire Franklin,zaire-franklin
2533016,Najee Goode,najee-goode
2561131,George Odum,george-odum
2561149,Matthew Adams,matthew-adams
2553817,Corey Moore,corey-moore
2556394,Chris Milton,chris-milton
2543811,Pierre Desir,pierre-desir
2556664,Luke Rhodes,luke-rhodes
2558191,Nathan Peterman,nathan-peterman
79607,LeSean McCoy,lesean-mccoy
2557863,Zay Jones,zay-jones
2543471,Kelvin Benjamin,kelvin-benjamin
2495189,Jeremy Kerley,jeremy-kerley
2495139,Charles Clay,charles-clay
2506268,Lorenzo Alexander,lorenzo-alexander
2560713,Tremaine Edmunds,tremaine-edmunds
2543851,Phillip Gaines,phillip-gaines
496796,Jerry Hughes,jerry-hughes
2539240,Micah Hyde,micah-hyde
2555252,Shaq Lawson,shaq-lawson
2557969,Matt Milano,matt-milano
2539290,Jordan Poyer,jordan-poyer
2557867,Tre'Davious White,tre-davious-white
2506931,Kyle Williams,kyle-williams
2541142,Josh Kline,josh-kline
2535131,Dennis Kelly,dennis-kelly
2532883,Ben Jones,ben-jones
2553824,Quinton Spain,quinton-spain
2550132,Taylor Lewan,taylor-lewan
2556368,Austin Johnson,austin-johnson
2560955,Josh Allen,josh-allen-4
2552647,Marcus Murphy,marcus-murphy
2507999,Chris Ivory,chris-ivory
2543767,Logan Thomas,logan-thomas
2559159,Jason Croom,jason-croom
2495453,Andre Holmes,andre-holmes
2560729,Robert Foster,robert-foster
2561574,Corey Bojorquez,corey-bojorquez
2507817,Rafael Bush,rafael-bush
2560766,Taron Johnson,taron-johnson
2543503,Trent Murphy,trent-murphy
2560818,Siran Neal,siran-neal
2560840,Harrison Phillips,harrison-phillips
2555235,Adolphus Washington,adolphus-washington
2556714,Eddie Yarbrough,eddie-yarbrough
2507374,Stephen Hauschka,stephen-hauschka
2549971,Kevin Pamphile,kevin-pamphile
2561328,Sharif Finch,sharif-finch
2541539,Daren Bates,daren-bates
2550289,David Fluellen,david-fluellen
2541756,Brynden Trawick,brynden-trawick
2561033,Dane Cruikshank,dane-cruikshank
2535701,Beau Brinkley,beau-brinkley
2558271,Corey Levin,corey-levin
2556798,Kenneth Durden,kenneth-durden
382,Joe Flacco,joe-flacco
2555430,Alex Collins,alex-collins
2543847,John Brown,john-brown
2552402,Nick Boyle,nick-boyle
71269,Michael Crabtree,michael-crabtree
2552468,Maxx Williams,maxx-williams
4365,Brandon Carr,brandon-carr
2558067,Marlon Humphrey,marlon-humphrey
2540164,Tony Jefferson,tony-jefferson
2543464,C.J. Mosley,c-j-mosley
2556642,Patrick Onwuasor,patrick-onwuasor
2552279,Za'Darius Smith,za-darius-smith
2505660,Terrell Suggs,terrell-suggs
2543765,Brent Urban,brent-urban
2541302,Brandon Williams,brandon-williams-5
2555378,Tavon Young,tavon-young
4485,Josh Sitton,josh-sitton
2553705,Jesse Davis,jesse-davis
2555201,Laremy Tunsil,laremy-tunsil
2543755,Ja'Wuan James,ja-wuan-james
2495299,Daniel Kilgore,daniel-kilgore
2560757,Lamar Jackson,lamar-jackson
2555229,Kenneth Dixon,kenneth-dixon
2552631,Javorius Allen,javorius-allen
2550256,Willie Snead,willie-snead
2560957,Mark Andrews,mark-andrews
2555209,Chris Moore,chris-moore
2560963,Anthony Averett,anthony-averett
2558166,Tyus Bowser,tyus-bowser
2555178,Maurice Canady,maurice-canady
2555505,Matt Judon,matt-judon
2556650,Michael Pierce,michael-pierce
2558990,Patrick Ricard,patrick-ricard
2557841,Tim Williams,tim-williams
2557862,Chris Wormley,chris-wormley
2560947,Kenny Young,kenny-young
2561485,Janarion Grant,janarion-grant
2536340,Justin Tucker,justin-tucker
2506969,Sam Koch,sam-koch
2552580,A.J. Derby,a-j-derby
2560880,Durham Smythe,durham-smythe
4483,William Hayes,william-hayes
2559053,Torry McTyer,torry-mctyer
2543724,Walt Aikens,walt-aikens
2556612,Tanner McEvoy,tanner-mcevoy
2550633,Senorise Perry,senorise-perry
2532797,Brandon Bolden,brandon-bolden
2552321,Stephone Anthony,stephone-anthony
2506220,John Denney,john-denney
2557931,Cordrea Tankersley,cordrea-tankersley
2508058,Sam Young,sam-young
497026,Ted Larsen,ted-larsen
2552466,Marcus Mariota,marcus-mariota
2556075,Derrick Henry,derrick-henry
2557848,Corey Davis,corey-davis
2495966,Delanie Walker,delanie-walker
2555317,Tajae Sharpe,tajae-sharpe
2558207,Jonnu Smith,jonnu-smith
2550613,Malcolm Butler,malcolm-butler
2555158,Kevin Byard,kevin-byard
2495476,Jurrell Casey,jurrell-casey
2540013,Will Compton,will-compton
2555339,Kamalei Correa,kamalei-correa
2543504,DaQuan Jones,daquan-jones
71423,Brian Orakpo,brian-orakpo
2540162,Logan Ryan,logan-ryan
2539320,Kenny Vaccaro,kenny-vaccaro
2354,Wesley Woodyard,wesley-woodyard
2507716,Demar Dotson,demar-dotson
2552332,Ali Marpet,ali-marpet
2552460,Donovan Smith,donovan-smith
2541159,Ryan Jensen,ryan-jensen
2555488,Caleb Benenoch,caleb-benenoch
496843,Jason Pierre-Paul,jason-pierre-paul
2543884,Beau Allen,beau-allen
2495441,Blaine Gabbert,blaine-gabbert
2495469,Dion Lewis,dion-lewis
2495234,Luke Stocker,luke-stocker
2557870,Taywan Taylor,taywan-taylor
2558005,Jayon Brown,jayon-brown
2558065,Adoree' Jackson,adoree-jackson
2540163,Bennie Logan,bennie-logan
496828,Derrick Morgan,derrick-morgan
2555551,LeShaun Sims,leshaun-sims
2555320,Aaron Wallace,aaron-wallace
2532903,Rishard Matthews,rishard-matthews
2553896,Darius Jennings,darius-jennings
89802,Ryan Succop,ryan-succop
4263,Brett Kern,brett-kern
2507701,Evan Smith,evan-smith
2559044,Antony Auclair,antony-auclair
2555270,Carl Nassib,carl-nassib
2540176,William Gholston,william-gholston
2533052,Jerel Worthy,jerel-worthy
2555312,Noah Spence,noah-spence
2560930,Jordan Whitehead,jordan-whitehead
2556567,Isaiah Johnson,isaiah-johnson
2553774,Cameron Lynch,cameron-lynch
2561022,Jack Cichy,jack-cichy
2507731,Garrison Sanborn,garrison-sanborn
2556787,Leonard Wester,leonard-wester
2556934,Javien Elliott,javien-elliott
2532956,Ryan Tannehill,ryan-tannehill
2506404,Frank Gore,frank-gore
2555230,Kenyan Drake,kenyan-drake
2540202,Kenny Stills,kenny-stills
2649,Danny Amendola,danny-amendola
2560994,Mike Gesicki,mike-gesicki
2539935,Kiko Alonso,kiko-alonso
2560966,Jerome Baker,jerome-baker
2558012,Davon Godchaux,davon-godchaux
2555539,Xavien Howard,xavien-howard
496739,Reshad Jones,reshad-jones
2552434,Bobby McCain,bobby-mccain
2539309,T.J. McDonald,t-j-mcdonald
2558070,Raekwon McMillan,raekwon-mcmillan
2495485,Robert Quinn,robert-quinn
2540201,Akeem Spence,akeem-spence
2506314,Cameron Wake,cameron-wake
2539248,Larry Warford,larry-warford
2557959,Ryan Ramczyk,ryan-ramczyk
71493,Max Unger,max-unger
2532891,Josh LeRibeus,josh-leribeus
2540228,Terron Armstead,terron-armstead
2550272,Albert Wilson,albert-wilson
2556190,Jakeem Grant,jakeem-grant
2559043,Chase Allen,chase-allen-2
2532801,Andre Branch,andre-branch
2560725,Minkah Fitzpatrick,minkah-fitzpatrick
2558001,Charles Harris,charles-harris
2552492,Jordan Phillips,jordan-phillips
2558017,Vincent Taylor,vincent-taylor
2561153,Jason Sanders,jason-sanders
2559047,Matt Haack,matt-haack
2558954,Taysom Hill,taysom-hill
2556274,David Onyemata,david-onyemata
2557943,Trey Hendrickson,trey-hendrickson
2532431,Craig Robertson,william-craig-robertson
2559087,Arthur Maulet,arthur-maulet
2541192,Chris Banjo,chris-banjo
2559181,Justin Hardee,justin-hardee
2561206,J.T. Gray,j-t-gray
2556931,Zach Wood,zach-wood
2543539,Michael Ola,michael-ola
2506109,Ben Roethlisberger,ben-roethlisberger
2557978,James Conner,james-conner
2508061,Antonio Brown,antonio-brown
2552633,Jesse James,jesse-james
2539978,Jon Bostic,jon-bostic
2555344,Artie Burns,artie-burns
2555386,Sean Davis,sean-davis
2552289,Bud Dupree,bud-dupree
496733,Joe Haden,joe-haden
2555239,Javon Hargrave,javon-hargrave
2508109,Cameron Heyward,cameron-heyward
2543483,Stephon Tuitt,stephon-tuitt
2558064,T.J. Watt,t-j-watt
2540221,Vince Williams,vince-williams
2557963,Julie'n Davenport,julie-n-davenport
2543862,Zach Fulton,zach-fulton
2532889,Senio Kelemete,senio-kelemete
2555189,Nick Martin,nick-martin
2543730,Seantrel Henderson,seantrel-henderson
2557960,Ryan Switzer,ryan-switzer
2558149,JuJu Smith-Schuster,juju-smith-schuster
2540151,Justin Hunter,justin-hunter
496760,Tyson Alualu,tyson-alualu
496727,Morgan Burnett,morgan-burnett
2556559,Mike Hilton,mike-hilton
2558849,Cameron Sutton,cameron-sutton
2550545,Chris Boswell,chris-boswell
2553348,Jordan Berry,jordan-berry
2560848,Martinas Rankin,martinas-rankin
2553560,Greg Mancz,greg-mancz
2552730,Brian Peters,brian-peters
2556673,Brennan Scarlett,brennan-scarlett
1037347,Joe Webb,joe-webb
2561538,A.J. Moore,a-j-moore
2560774,Peter Kalambayi,peter-kalambayi
2560759,Natrell Jamerson,natrell-jamerson
2507831,Jon Weeks,jon-weeks
2495240,Tyrod Taylor,tyrod-taylor
2543743,Carlos Hyde,carlos-hyde
2537931,Josh Gordon,josh-gordon
2557986,David Njoku,david-njoku
2540928,Darren Fells,darren-fells
2543737,Joel Bitonio,joel-bitonio
2556504,Trevon Coley,trevon-coley
2539311,Jamie Collins,jamie-collins
2557965,Myles Garrett,myles-garrett
2543720,Christian Kirksey,christian-kirksey
2543637,Terrance Mitchell,terrance-mitchell
2555278,Emmanuel Ogbah,emmanuel-ogbah
2557836,Larry Ogunjobi,larry-ogunjobi
2557980,Jabrill Peppers,jabrill-peppers
2552389,Damarious Randall,damarious-randall
2555166,Joe Schobert,joe-schobert
2560916,Denzel Ward,denzel-ward
2552350,Trent Brown,trent-brown
2552563,Shaq Mason,shaq-mason
2555281,Joe Thuney,joseph-michael-thuney
2553632,David Andrews,david-andrews
2495131,Marcus Cannon,marcus-cannon
2533046,Dwayne Allen,dwayne-allen
2561021,Nick Chubb,nick-chubb
2552461,Duke Johnson,duke-johnson
2543488,Jarvis Landry,jarvis-landry
2555468,Rashard Higgins,rashard-higgins
2560988,Antonio Callaway,antonio-callaway
2560964,Genard Avery,genard-avery
2556475,Briean Boddy-Calhoun,briean-boddy-calhoun
2555540,Derrick Kindred,derrick-kindred
2543692,Chris Smith,chris-smith
2550164,T.J. Carrie,t-j-carrie
2558178,Zane Gonzalez,zane-gonzalez
71259,Britton Colquitt,britton-colquitt
2539324,LaAdrian Waddle,laadrian-waddle
2557930,Keionta Davis,keionta-davis
2495140,Adrian Clayborn,adrian-clayborn
89756,Jason McCourty,jason-mccourty
2535132,Nate Ebner,nate-ebner
2553665,Brandon King,brandon-king
4487,Matthew Slater,matthew-slater
2552271,Geneo Grissom,geneo-grissom
2552701,Joe Cardona,joe-cardona
2555145,Ted Karras,ted-karras
2558063,Deshaun Watson,deshaun-watson
2533034,Lamar Miller,lamar-miller
2543646,Bruce Ellington,bruce-ellington
2541316,Ryan Griffin,ryan-francis-griffin
2561427,Vyncint Smith,vyncint-smith
2540165,DeAndre Hopkins,deandre-hopkins
2543456,Jadeveon Clowney,jadeveon-clowney
2552602,Christian Covington,christian-covington
2558094,Zach Cunningham,zach-cunningham
496735,Kareem Jackson,kareem-jackson
2552261,Kevin Johnson,kevin-johnson
2495872,Johnathan Joseph,johnathan-joseph
2540180,Tyrann Mathieu,tyrann-mathieu
2552490,Benardrick McKinney,benardrick-mckinney
2533049,Whitney Mercilus,whitney-mercilus
2555388,D.J. Reader,d-j-reader
2495488,J.J. Watt,j-j-watt
2540229,Jordan Mills,jordan-mills
2553436,John Miller,john-miller
2550569,Ryan Groy,ryan-groy
2508044,Vladimir Ducasse,vladimir-ducasse
2557875,Dion Dawkins,dion-dawkins
2539329,Star Lotulelei,star-lotulelei
2543600,Alfred Blue,alfred-blue
2560896,Jordan Thomas,jordan-thomas
2555234,Tyler Ervin,tyler-ervin
2560951,Jordan Akins,jordan-akins
2552470,Sammie Coates,sammie-coates
2535693,Johnson Bademosi,johnson-bademosi
2552670,Angelo Blackson,angelo-blackson
2559152,Dylan Cole,dylan-cole
2543501,Aaron Colvin,aaron-colvin
2550559,Brandon Dunn,brandon-dunn
2560851,Justin Reid,justin-reid
2556521,Ka'imi Fairbairn,ka-imi-fairbairn
2561034,Trevor Daniel,trevor-daniel
497030,Marshall Newhouse,marshall-newhouse
2530763,Patrick DiMarco,patrick-dimarco
2507644,Ramon Humber,ramon-humber
2556652,Lafayette Pitts,lafayette-pitts
2541848,Deon Lacey,deon-lacey
2495467,Taiwan Jones,taiwan-jones
2556526,Reid Ferguson,reid-ferguson
2504211,Tom Brady,tom-brady
2539265,Rex Burkhead,rex-burkhead
2540145,Cordarrelle Patterson,cordarrelle-patterson
497240,Rob Gronkowski,rob-gronkowski
2508101,James Develin,james-develin
2561143,Ja'Whaun Bentley,ja-whaun-bentley
2552483,Malcom Brown,malcom-brown
71251,Patrick Chung,patrick-chung
2552278,Trey Flowers,trey-flowers
2533062,Stephon Gilmore,stephon-gilmore
2495481,Lawrence Guy,lawrence-guy
2533057,Dont'a Hightower,dont-a-hightower
2556571,Jonathan Jones,jonathan-jones
494287,Devin McCourty,devin-mccourty
2552255,Eric Rowe,eric-rowe
2543699,Kyle Van Noy,kyle-van-noy
2555204,Ronnie Stanley,ronnie-stanley
2556683,Matt Skura,matt-skura
2555353,Alex Lewis,alex-lewis
2550210,James Hurst,james-hurst
2507188,Marshal Yanda,marshal-yanda
2495775,Eric Weddle,eric-weddle
2543603,Jeremy Hill,jeremy-hill
2543773,James White,james-white
2552424,Phillip Dorsett,phillip-dorsett
2530515,Chris Hogan,chris-hogan
2559211,Riley McCarron,riley-mccarron
2558924,Adam Butler,adam-butler
2556542,Nicholas Grigsby,nicholas-grigsby
2541243,Duron Harmon,duron-harmon
2556119,Elandon Roberts,elandon-roberts
2552325,Danny Shelton,danny-shelton
2558000,Deatrich Wise,deatrich-wise
2506922,Stephen Gostkowski,stephen-gostkowski
2539640,Ryan Allen,ryan-allen
2559827,Bradley Bozeman,bradley-bozeman
2560981,Orlando Brown,orlando-brown
2558248,Chuck Clark,chuck-clark
2561301,Chris Board,chris-board
2508004,Anthony Levine,anthony-levine
2508008,Morgan Cox,morgan-cox
2543801,Jimmy Garoppolo,jimmy-garoppolo
2533457,Alfred Morris,alfred-morris
2558266,George Kittle,george-kittle
2540230,Kyle Juszczyk,kyle-juszczyk
2346,Pierre Garcon,pierre-garcon
2539964,Marquise Goodwin,marquise-goodwin
2552493,Arik Armstead,arik-armstead
2555275,DeForest Buckner,deforest-buckner
2558857,Adrian Colbert,adrian-colbert
2550285,Brock Coyle,brock-coyle
496822,Earl Mitchell,earl-mitchell
2495507,Richard Sherman,richard-sherman
2552391,Jaquiski Tartt,jaquiski-tartt
2558018,Solomon Thomas,solomon-thomas
2560917,Fred Warner,fred-warner
2550654,K'Waun Williams,k-waun-williams
2558157,Ahkello Witherspoon,ahkello-witherspoon
2508111,Marcus Gilbert,marcus-gilbert
81821,Ramon Foster,ramon-foster
2550130,Alejandro Villanueva,alejandro-villanueva
497042,Maurkice Pouncey,maurkice-pouncey
2533043,David DeCastro,david-decastro
2550521,Xavier Grimble,xavier-grimble
2560828,Chuks Okorafor,chuks-okorafor
2560712,Terrell Edmunds,terrell-edmunds
2558918,Matt Breida,matt-breida
2560836,Dante Pettis,dante-pettis
2558202,Trent Taylor,trent-taylor
2555251,Ronald Blair,ronald-blair
2555241,Sheldon Day,sheldon-day
2558265,D.J. Jones,d-j-jones
2558121,Elijah Lee,elijah-lee
2543868,Cassius Marsh,cassius-marsh
2543741,Jimmie Ward,jimmie-ward
2506264,Robbie Gould,robbie-gould
2552711,Bradley Pinion,bradley-pinion
2550235,Roosevelt Nix-Jones,roosevelt-nix-jones
2560920,James Washington,james-washington
2553711,B.J. Finney,b-j-finney
80427,Darrius Heyward-Bey,darrius-heyward-bey
2552266,Anthony Chickillo,anthony-chickillo
2550154,Dan McCullers-Sanders,dan-mccullers-sanders
2555171,Tyler Matakevich,tyler-matakevich
2535613,L.J. Fort,l-j-fort
2541696,Jordan Dangerfield,jordan-dangerfield
2556421,Kameron Canaday,kameron-canaday
2543643,Nat Berhe,nat-berhe
2560897,Matthew Thomas,matthew-thomas
2495470,Stevan Ridley,stevan-ridley
2532820,Kirk Cousins,kirk-cousins
2557991,Dalvin Cook,dalvin-cook
2552608,Stefon Diggs,stefon-diggs
2541785,Adam Thielen,adam-thielen
2555214,Laquon Treadwell,laquon-treadwell
2495438,Kyle Rudolph,kyle-rudolph
2543459,Anthony Barr,anthony-barr
2558033,Ben Gedeon,ben-gedeon
496790,Everson Griffen,everson-griffen
2552603,Danielle Hunter,danielle-hunter
496802,Linval Joseph,linval-joseph
2552312,Eric Kendricks,eric-kendricks
2540155,Xavier Rhodes,xavier-rhodes
2540142,Sheldon Richardson,sheldon-richardson
2525323,Andrew Sendejo,andrew-sendejo
2532948,Harrison Smith,harrison-smith
2552448,Trae Waynes,trae-waynes
2561007,Desmond Harrison,desmond-harrison
2532980,Kevin Zeitler,kevin-zeitler
2541716,Chris Hubbard,chris-hubbard
2540292,JC Tretter,jc-tretter
2556365,Seth DeValve,seth-devalve
2541161,Latavius Murray,latavius-murray
2555306,David Morgan,david-morgan
2561027,Tyler Conklin,tyler-conklin
2556803,C.J. Ham,c-j-ham
2560741,Holton Hill,holton-hill
2560746,Mike Hughes,mike-hughes
